color_intensity,texture_smoothness,moisture_level,leaf_quality,label,temperature,humidity,cocoon_yield
0.5621780831931538,0.24134537693488617,0.5013610378432988,Poor,2,26.455203786022192,72.74789587787068,65.51279513392522
0.9655000144869412,0.6250837052545184,0.5671542034191752,Moderate,1,25.185725427116736,50.737607493764045,81.34647756149175
0.8123957592679836,0.6325080972880852,0.5062062905660482,Moderate,1,26.27004804562858,50.663706545869914,76.25413794442404
0.7190609389379257,0.7099439211985652,0.4532215202542334,Moderate,1,29.081290926787844,59.70830657448624,79.81349412776488
0.40921304830970556,0.7808730669781292,0.4723815226603605,Poor,2,27.949971854147485,64.65929571213996,61.75882940321283
0.40919616423534183,0.9806816635700277,0.6764672608196355,Moderate,1,31.248701977538822,73.1122225342338,81.98632132704635
0.3406585285177396,0.6130402786409563,0.5238002310434755,Poor,2,30.72210493216909,70.49886129819515,63.54044348582781
0.9063233020424546,0.4583651783529968,0.6185619166288453,Moderate,1,27.39272146188513,63.37708119130245,83.3150809745867
0.7207805082202461,0.8361489558149631,0.7020503625129142,Moderate,1,26.815964034019046,58.208799988449975,83.31282890861493
0.7956508044572318,0.4166658010096594,0.8142368971776193,Moderate,1,27.657846857170867,79.91373500473134,88.8026561877821
0.3144091460070617,0.5511771365645088,0.4235872839046594,Poor,2,29.132064597603655,62.78543906707919,65.12091290177494
0.978936896513396,0.2627651050738128,0.8796462393454256,Moderate,1,26.876445485760133,63.541610729890266,85.45133016536293
0.8827098485602951,0.22028059473236603,0.7767402336945446,Moderate,1,29.369042354943936,54.90871463575007,84.85245870922739
0.44863737747479326,0.9701187317423401,0.4490554191693232,Moderate,1,27.865881565338682,73.84428646249788,80.01824233659386
0.42727747704497043,0.8687840964097646,0.9241471744640664,Moderate,1,28.86433026596386,70.81046677344466,80.68770807854246
0.4283831568974037,0.7567793648749583,0.9525234403190879,Moderate,1,28.05288570394722,56.62308838366281,76.37380357454036
0.5129695700716763,0.527162355531416,0.4366467759129183,Poor,2,27.061260316793422,52.47143136847528,62.438403256844374
0.6673295021425665,0.33863545605667666,0.5661265888883222,Poor,2,31.639173148735097,70.4149790622414,66.2437147275806
0.602361513049481,0.3251496341368688,0.8837207678758368,Moderate,1,30.345240559118324,69.63533642843406,80.18926997189065
0.5038603981386294,0.4001943185316763,0.848955814230195,Moderate,1,25.980792230365168,58.19778580994628,86.91950649476975
0.7282970263056656,0.6393813317648964,0.5107126116138264,Moderate,1,31.07927583128539,78.5259068675123,79.76821736075536
0.3976457024564293,0.77167673816005,0.5256095940020262,Poor,2,28.412018387746595,54.531736753427005,65.04469842486725
0.5045012539746527,0.728157901374185,0.6222832616748292,Moderate,1,31.26186558825864,62.97004403127806,79.47930288452264
0.5564532903055841,0.4239471175567543,0.6907137911146128,Moderate,1,30.598986791631205,78.30847760502797,80.37641040968217
0.619248988951925,0.9638922245305552,0.7709528629181777,Excellent,0,27.976494531284633,62.59181950778367,97.38883422777768
0.8496231729751094,0.7903175333566148,0.6213481837418635,Excellent,0,25.15728515824082,69.15577842992256,97.82027878406917
0.4397716475108518,0.6434832420091205,0.6775208296798887,Moderate,1,26.880741515694623,61.92783193888383,80.79392464954869
0.6599641068895281,0.6893765969874819,0.8484825628802539,Moderate,1,28.79143950262607,58.2264560704601,79.32247111204185
0.7146901982034297,0.535680049942232,0.42200992173435875,Moderate,1,29.43434753878303,79.51932943879484,88.21695109669409
